datetime,signal
2025-07-03 04:55:00,BUY
2025-07-03 05:00:00,SELL
2025-07-03 05:05:00,SELL
2025-07-03 05:10:00,BUY
2025-07-03 05:15:00,BUY
2025-07-03 05:20:00,BUY
2025-07-03 05:25:00,BUY
2025-07-03 05:30:00,BUY
2025-07-03 05:35:00,SELL
2025-07-03 05:40:00,SELL
2025-07-03 05:45:00,SELL
2025-07-03 05:50:00,SELL
2025-07-03 05:55:00,SELL
2025-07-03 06:00:00,SELL
2025-07-03 06:05:00,SELL
2025-07-03 06:10:00,SELL
2025-07-03 06:15:00,SELL
2025-07-03 06:20:00,BUY
2025-07-03 06:25:00,BUY
2025-07-03 06:30:00,BUY
2025-07-03 06:35:00,BUY
2025-07-03 06:40:00,BUY
2025-07-03 06:45:00,BUY
2025-07-03 06:50:00,BUY
2025-07-03 06:55:00,BUY
2025-07-03 07:00:00,BUY
2025-07-03 07:05:00,BUY
2025-07-03 07:10:00,SELL
2025-07-03 07:15:00,SELL
2025-07-03 07:20:00,SELL
2025-07-03 07:25:00,SELL
2025-07-03 07:30:00,SELL
2025-07-03 07:35:00,SELL
2025-07-03 07:40:00,SELL
2025-07-03 07:45:00,SELL
2025-07-03 07:50:00,SELL
2025-07-03 07:55:00,SELL
2025-07-03 08:00:00,SELL
2025-07-03 08:05:00,SELL
2025-07-03 08:10:00,SELL
2025-07-03 08:15:00,SELL
2025-07-03 08:20:00,SELL
2025-07-03 08:25:00,SELL
2025-07-03 08:30:00,SELL
2025-07-03 08:35:00,SELL
2025-07-03 08:40:00,SELL
2025-07-03 08:45:00,SELL
2025-07-03 08:50:00,SELL
2025-07-03 08:55:00,SELL
2025-07-03 09:00:00,SELL
2025-07-03 09:05:00,SELL
2025-07-03 09:10:00,SELL
2025-07-03 09:15:00,SELL
2025-07-03 09:20:00,BUY
2025-07-03 09:25:00,SELL
2025-07-03 09:30:00,BUY
2025-07-03 09:35:00,BUY
2025-07-03 09:40:00,BUY
2025-07-03 09:45:00,BUY
2025-07-03 09:50:00,BUY
2025-07-03 09:55:00,SELL
2025-07-04 03:45:00,SELL
2025-07-04 03:50:00,SELL
2025-07-04 03:55:00,SELL
2025-07-04 04:00:00,BUY
2025-07-04 04:05:00,BUY
2025-07-04 04:10:00,BUY
2025-07-04 04:15:00,BUY
2025-07-04 04:20:00,BUY
2025-07-04 04:25:00,BUY
2025-07-04 04:30:00,BUY
2025-07-04 04:35:00,BUY
2025-07-04 04:40:00,BUY
2025-07-04 04:45:00,BUY
2025-07-04 04:50:00,SELL
2025-07-04 04:55:00,BUY
2025-07-04 05:00:00,SELL
2025-07-04 05:05:00,SELL
2025-07-04 05:10:00,SELL
2025-07-04 05:15:00,SELL
2025-07-04 05:20:00,SELL
2025-07-04 05:25:00,SELL
2025-07-04 05:30:00,SELL
2025-07-04 05:35:00,SELL
2025-07-04 05:40:00,SELL
2025-07-04 05:45:00,SELL
2025-07-04 05:50:00,SELL
2025-07-04 05:55:00,SELL
2025-07-04 06:00:00,SELL
2025-07-04 06:05:00,SELL
2025-07-04 06:10:00,SELL
2025-07-04 06:15:00,SELL
2025-07-04 06:20:00,SELL
2025-07-04 06:25:00,BUY
2025-07-04 06:30:00,SELL
2025-07-04 06:35:00,SELL
2025-07-04 06:40:00,BUY
2025-07-04 06:45:00,SELL
2025-07-04 06:50:00,BUY
2025-07-04 06:55:00,BUY
2025-07-04 07:00:00,BUY
2025-07-04 07:05:00,BUY
2025-07-04 07:10:00,SELL
2025-07-04 07:15:00,BUY
2025-07-04 07:20:00,BUY
2025-07-04 07:25:00,BUY
2025-07-04 07:30:00,BUY
2025-07-04 07:35:00,BUY
2025-07-04 07:40:00,BUY
2025-07-04 07:45:00,BUY
2025-07-04 07:50:00,BUY
2025-07-04 07:55:00,BUY
2025-07-04 08:00:00,BUY
2025-07-04 08:05:00,BUY
2025-07-04 08:10:00,BUY
2025-07-04 08:15:00,BUY
2025-07-04 08:20:00,SELL
2025-07-04 08:25:00,SELL
2025-07-04 08:30:00,SELL
2025-07-04 08:35:00,SELL
2025-07-04 08:40:00,SELL
2025-07-04 08:45:00,BUY
2025-07-04 08:50:00,BUY
2025-07-04 08:55:00,BUY
2025-07-04 09:00:00,BUY
2025-07-04 09:05:00,BUY
2025-07-04 09:10:00,SELL
2025-07-04 09:15:00,BUY
2025-07-04 09:20:00,BUY
2025-07-04 09:25:00,BUY
2025-07-04 09:30:00,SELL
2025-07-04 09:35:00,SELL
2025-07-04 09:40:00,SELL
2025-07-04 09:45:00,SELL
2025-07-04 09:50:00,SELL
2025-07-04 09:55:00,SELL
